Year,Month,Day,Hour,Wind
2010,11,8,19,1962.327675
2010,11,8,20,1853.913019
2010,11,8,21,1700.474921
2010,11,8,22,1748.298328
2010,11,8,23,1391.58275
2010,11,9,0,1261.776359
2010,11,9,1,1002.051579
2010,11,9,2,668.0717186
2010,11,9,3,465.4662301
2010,11,9,4,384.6032325
2010,11,9,5,265.2127124
2010,11,9,6,163.517973
2010,11,9,7,144.478209
2010,11,9,8,183.7897217
2010,11,9,9,178.525787
2010,11,9,10,160.3820119
2010,11,9,11,87.69491293
2010,11,9,12,89.15089488
2010,11,9,13,133.1663493
2010,11,9,14,189.7256482
2010,11,9,15,251.9968762
2010,11,9,16,328.1559322
2010,11,9,17,131.2623729
2010,11,9,18,27.8876543
2010,11,9,19,7.167911146
2010,11,9,20,22.0637265
2010,11,9,21,4.143948632
2010,11,9,22,2.68796668
2010,11,9,23,3.471956962
2010,11,10,0,5.823927806
2010,11,10,1,12.99183895
2010,11,10,2,18.70376815
2010,11,10,3,34.49557239
2010,11,10,4,46.70342106
2010,11,10,5,56.89529472
2010,11,10,6,65.2951906
2010,11,10,7,70.33512812
2010,11,10,8,43.00746688
2010,11,10,9,55.21531555
2010,11,10,10,94.86282408
2010,11,10,11,76.60705038
2010,11,10,12,53.42333776
2010,11,10,13,29.34363626
2010,11,10,14,34.607571
2010,11,10,15,56.44730028
2010,11,10,16,91.95086018
2010,11,10,17,133.0543507
2010,11,10,18,141.6782438
2010,11,10,19,163.9659675
2010,11,10,20,170.5738856
2010,11,10,21,192.5256134
2010,11,10,22,245.5009568
2010,11,10,23,223.1012344
2010,11,11,0,267.2286874
2010,11,11,1,294.8923445
2010,11,11,2,302.8442459
2010,11,11,3,341.8197628
2010,11,11,4,292.6523723
2010,11,11,5,254.2368485
2010,11,11,6,271.2606374
2010,11,11,7,304.0762307
2010,11,11,8,253.788854
2010,11,11,9,234.9730873
2010,11,11,10,201.9334968
2010,11,11,11,164.3019633
2010,11,11,12,87.58291432
2010,11,11,13,99.67876438
2010,11,11,14,114.9105756
2010,11,11,15,110.8786255
2010,11,11,16,270.5886458
